,D3B,D4A,D2B_E8MIXA,D2A_EPHHM,NatWalkInd
count,43065.0,43065.0,43065.0,43065.0,43065.0
mean,89.74360307398418,-44527.72402531058,0.5458385845300129,0.5045624437698131,10.5179418708333
std,85.6317585805173,49966.9102462114,0.21286680351993476,0.21823642873156704,4.466801801988454
min,0.0,-99999.0,0.0,0.0,1.0
25%,21.73057536,-99999.0,0.418000264,0.340685075,6.666666667
50%,78.02676776,152.89,0.582042801,0.511386614,11.16666667
75%,130.4394796,477.44,0.708072697,0.67452023,14.16666667
max,1423.17713,1207.0,0.982039571,1.0,20.0
